# VMSZ VSS RSS VM_TOTAL VM_FREE VM_AVAIL PMAP_EXEC PMAP_DATA (sizes in KB)
131072 137452 132444 114800 15044 66508 1736 135688
262144 268524 174676 243816 112724 192812 1736 266760
524288 530668 178112 501856 369996 446752 1736 528904
1048576 1054956 188408 1017936 884940 857240 1736 1053192
1572864 1579244 198700 1534032 1399196 1369504 1736 1577480
2097152 2103532 206892 2050128 1915160 1883480 1736 2101768
3145728 3152104 225892 3082316 2943712 2907976 1736 3150340
4194304 4200684 312224 4048548 3909160 3833268 1736 4198920
6291456 6297832 354464 6112932 5965520 5881452 1736 6296068
8388608 8394988 387200 8177308 8029968 7937788 1736 8393224
