# VMSZ VSS RSS VM_TOTAL VM_FREE VM_AVAIL PMAP_EXEC PMAP_DATA (sizes in KB)
131072 749940 147888 114796 16080 65340 11132 282168
262144 733548 201196 243812 112512 192636 11132 396592
524288 995692 205288 501852 370224 446992 11132 658736
1048576 1521084 215744 1017932 884872 857212 11132 1184128
1572864 2045724 224008 1534028 1399036 1369352 11132 1708780
2097152 2568440 232184 2050124 1915076 1883380 11132 2231484
3145728 3617016 252760 3082316 2943728 2908012 11132 3280036
4194304 4666020 342964 4048556 3909068 3832172 11132 4329048
6291456 6763172 384132 6112940 5965420 5880356 11132 6426200
8388608 8862360 417180 8177324 8029772 7936576 11132 8525388
