# VMSZ VSS RSS VM_TOTAL VM_FREE VM_AVAIL PMAP_EXEC PMAP_DATA (sizes in KB)
131072 135380 132512 114800 16680 66460 1736 133624
262144 266452 173960 243816 113068 193228 1736 264696
524288 528592 179768 501856 369904 446628 1736 526836
1048576 1052880 187952 1017936 885056 857364 1736 1051124
1572864 1577168 197720 1534032 1398968 1369264 1736 1575412
2097152 2101456 207228 2050128 1915136 1883436 1736 2099700
3145728 3150040 226236 3082316 2943628 2907908 1736 3148284
4194304 4198608 312564 4048548 3909704 3833820 1736 4196852
6291456 6295760 354532 6112932 5965600 5881556 1736 6294004
8388608 8392916 386216 8177308 8030208 7938024 1736 8391160
