# VMSZ VSS RSS VM_TOTAL VM_FREE VM_AVAIL PMAP_EXEC PMAP_DATA (sizes in KB)
131072 750968 147604 114796 14328 65628 11132 283192
262144 733548 200916 243812 112560 192688 11132 396592
524288 995692 205032 501852 369852 446620 11132 658736
1048576 1519864 213364 1017932 884796 857124 11132 1182908
1572864 2044468 223688 1534028 1399036 1369352 11132 1707524
2097152 2568440 231892 2050124 1914968 1883284 11132 2231484
3145728 3617016 252472 3082316 2943728 2908000 11132 3280036
4194304 4592288 342684 4048556 3909104 3832204 11132 4320724
6291456 6763172 385828 6112940 5965504 5880436 11132 6426200
8388608 8861104 418948 8177324 8029788 7936588 11132 8524132
