# VMSZ VSS RSS VM_TOTAL VM_FREE VM_AVAIL PMAP_EXEC PMAP_DATA (sizes in KB)
131072 487480 134444 114796 14120 64832 5116 142548
262144 618552 182196 243812 110828 190988 5116 273620
524288 880696 186472 501852 368236 444964 5116 535764
1048576 1404984 196188 1017932 883800 856164 5116 1060052
1572864 1929272 206716 1534028 1397916 1368264 5116 1584340
2097152 2453560 214680 2050124 1913752 1882084 5116 2108628
3145728 3502136 234952 3082316 2942072 2906376 5116 3157204
4194304 4550712 322680 4048556 3907828 3830956 5116 4205780
6291456 6647864 363872 6112940 5963784 5878728 5116 6302932
8388608 8745016 394468 8177324 8028132 7934976 5116 8400084
