# VMSZ VSS RSS VM_TOTAL VM_FREE VM_AVAIL PMAP_EXEC PMAP_DATA (sizes in KB)
131072 137780 131112 114800 16060 66724 2024 135736
262144 268844 172824 243816 112800 192912 2024 266800
524288 530976 172764 501856 369880 446624 2024 528932
1048576 1055276 186816 1017936 885036 857364 2024 1053232
1572864 1579564 194676 1534032 1399212 1369516 2024 1577520
2097152 2103856 205500 2050128 1915308 1883608 2024 2101812
3145728 3152428 220608 3082316 2943908 2908164 2024 3150384
4194304 4201004 309840 4048548 3909404 3833516 2024 4198960
6291456 6298156 351288 6112932 5965640 5881564 2024 6296112
8388608 8395316 385344 8177308 8029956 7937784 2024 8393272
10485760 10492464 430224 10241684 10080944 9980652 2024 10490420
