# VMSZ VSS RSS VM_TOTAL VM_FREE VM_AVAIL PMAP_EXEC PMAP_DATA (sizes in KB)
131072 529776 148028 114796 17740 65980 11132 258224
262144 659820 197208 243812 112428 192556 11132 388272
524288 921964 205476 501852 369948 446704 11132 650416
1048576 1446136 215784 1017932 884992 857320 11132 1174588
1572864 1970968 223948 1534028 1398896 1369176 11132 1699436
2097152 2494712 232264 2050124 1915292 1883584 11132 2223164
3145728 3543288 252624 3082316 2943784 2908044 11132 3271716
4194304 4592288 340920 4048556 3909272 3832380 11132 4320724
6291456 6688412 384056 6112940 5965796 5880692 11132 6416852
8388608 8786348 419144 8177324 8029704 7936488 11132 8514788
